"Parameter" "aquatisch"
"1" "Senecio jacobaea" NA
"2" "Centaurium pulchellum" NA
"3" "Limosella aquatica" NA
"4" "Nymphaea alba ssp. candida" NA
"5" "Abies alba" NA
"6" "Arctium minus" NA
"7" "Azolla" NA
"8" "Chara virgata" NA
"9" "Laburnum anagyroides" NA
"10" "Chara hispida" NA
"11" "Calamagrostis epigejos" NA
"12" "Ranunculus baudotii" NA
"13" "Apium graveolens" NA
"14" "Melilotus altissimus" NA
"15" "Arum maculatum" NA
"16" "Fraxinus" NA
"17" "Achillea" NA
"18" "Scrophulariaceae" NA
"19" "Alnus incana" NA
"20" "Veronica persica" NA
"21" "Senecio sarracenicus" NA
"22" "Mniaceae" NA
"23" "Origanum vulgare" NA
"24" "Inula" NA
"25" "Ulva" NA
"26" "Chenopodium glaucum" NA
"27" "Chenopodium rubrum" NA
"28" "Cardamine pratensis ssp. pratensis" NA
"29" "Lamiastrum galeobdolon ssp. galeobdolon" NA
"30" "Urtica" NA
"31" "Chara contraria var. contraria" NA
"32" "Alchemilla" NA
"33" "Picris hieracioides" NA
"34" "Ribes rubrum" NA
"35" "Salix purpurea" NA
"36" "Callitriche truncata" NA
"37" "Alismataceae" NA
"38" "Chara aspera var. aspera" NA
"39" "Juncus tenuis" NA
"40" "Helianthus tuberosus" NA
"41" "Sanguisorba officinalis" NA
"42" "Cotula coronopifolia" NA
"43" "Ficaria verna" NA
"44" "Leontodon" NA
"45" "Medicago arabica" NA
"46" "Impatiens parviflora" NA
"47" "Sorbus" NA
"48" "Celastraceae" NA
"49" "Echium vulgare" NA
"50" "Onagraceae" NA
"51" "Araceae" NA
"52" "Fagus sylvatica" NA
"53" "Lobelia" NA
"54" "Polypodium vulgare" NA
"55" "Betula pendula" NA
"56" "Characeae" NA
"57" "Aesculus" NA
"58" "Impatiens noli-tangere" NA
"59" "Dactylorhiza maculata ssp. maculata" NA
"60" "Chara aspera" NA
"61" "Sagittaria latifolia" NA
"62" "Cotoneaster" NA
"63" "Ilex aquifolium" NA
"64" "Malva moschata" NA
"65" "Viburnum opulus" NA
"66" "Betulaceae" NA
"67" "Galium palustre" NA
"68" "Asteraceae" NA
"69" "Pedicularis palustris" NA
"70" "Carex oederi ssp. oedocarpa" NA
"71" NA NA
"72" "Fagaceae" NA
"73" "Senecio inaequidens" NA
"74" "Pistia stratiotes" NA
"75" "Hieracium aurantiacum" NA
"76" "Plantago coronopus" NA
"77" "Pellia epiphylla" NA
"78" "Convallaria majalis" NA
"79" "Hippophae rhamnoides" NA
"80" "Ligustrum" NA
"81" "Plagiomnium elatum" NA
"82" "Jacobaea" NA
"83" "Cymbalaria muralis" NA
"84" "Sedum album" NA
"85" "Medicago" NA
"86" "Chara connivens" NA
"87" "Baldellia ranunculoides ssp. ranunculoides" NA
"88" "Scrophularia" NA
"89" "Dactylorhiza maculata" NA
"90" "Anthoxanthum" NA
"91" "Hypericum" NA
"92" "Spergularia" NA
"93" "Briza media" NA
"94" "Osmunda regalis" NA
"95" "Isolepis setacea" NA
"96" "Carduus nutans" NA
"97" "Cerastium glomeratum" NA
"98" "Mimulus" NA
"99" "Ribes uva-crispa" NA
"100" "Sagina" NA
"101" "Vulpia myuros" NA
"102" "Galinsoga quadriradiata" NA
"103" "Rubus spectabilis" NA
"104" "Vicia" NA
"105" "Crataegus" NA
"106" "Polypodium" NA
"107" "Juncaceae" NA
"108" "Chenopodium" NA
"109" "Polypodiaceae" NA
"110" "Populus tremula" NA
"111" "Ulmaceae" NA
"112" "Mycelis muralis" NA
